series_id,gt_race_id,diff_index,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_gender_rank,gt_time,gt_hour,gt_norm,placement_change,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_hour,ws_norm,delta_norm,delta_norm_pct,ws_race
12057,81876,31.63,Javelina,brittany peterson,F,2,2,15:47:23,15.789722222222200,0.499200829030105,14,17002,87878,6/25/2022,2022,47,Finisher,USA,16,35-39,22:16:07,22.268611111111100,0.286597311597312,-0.212603517432793,-42.588774911664300,Western States
10254,84317,5,Black Canyon,dominika stelmach,F,1,2,9:10:52,9.181111111111110,1.836222222222220,15,17002,87878,6/25/2022,2022,48,Finisher,POL,17,40-44,22:21:55,22.365277777777800,0.287841412841413,-1.548380809380810,-84.324260464887400,Western States
3753,37542,50.6,The Canyons,rod farvard,M,3,4,9:16:21,9.272500000000000,0.183250988142293,37,17002,87878,6/25/2022,2022,58,Finisher,USA,41,20-34,22:48:51,22.814166666666700,0.293618618618619,0.110367630476326,60.227577267210600,Western States
141,141024,67.1,CCC,adam peterman,M,2,3,10:28:50,10.480555555555600,0.156193078324226,46,17002,119682,6/28/2025,2025,68,Finisher,USA,49,20-34,23:09:29,23.158055555555600,0.298044473044473,0.141851394720247,90.817977494362300,Western States
25273,25073,91.8,Doi Inthanon,wenfei xie,F,2,2,28:22:13,28.370277777777800,0.309044420237231,20,17002,97204,6/24/2023,2023,101,Finisher,CHN,22,40-44,23:46:39,23.777500000000000,0.306016731016731,-0.003027689220500,-0.979693863482667,Western States
895,89523,35.92,Tarawera,nancy jiang,F,1,1,9:26:08,9.435555555555560,0.262682504330611,22,17002,97204,6/24/2023,2023,110,Finisher,NZL,23,20-34,23:57:22,23.956111111111100,0.308315458315458,0.045632953984847,17.371904573977100,Western States
623,62321,52.89,Festival Des Templiers,anne-lise le quere,F,2,2,12:53:51,12.897500000000000,0.243855171109851,35,17002,87878,6/25/2022,2022,173,Finisher,FRA,37,20-34,27:31:14,27.520555555555600,0.354189904189904,0.110334733080054,45.246009169250100,Western States
3753,37542,50.6,The Canyons,jared hazen,M,2,3,8:47:33,8.792500000000000,0.173764822134387,-3,17002,87878,6/25/2022,2022,,DNF,USA,,20-34,,,,,,Western States
10254,93392,5,Black Canyon,keely henninger,F,1,1,8:45:30,8.758333333333330,1.751666666666670,-1,17002,97204,6/24/2023,2023,,DNF,USA,,20-34,,,,,,Western States
25273,25073,91.8,Doi Inthanon,jiaju zhao,M,1,1,21:53:49,21.896944444444400,0.238528806584362,-1,17002,97204,6/24/2023,2023,,DNF,CHN,,20-34,,,,,,Western States
50001,23,25.35,Bandera,nicole bitter,F,2,2,10:04:03,10.067500000000000,0.397140039447732,-2,17002,97204,6/24/2023,2023,,DNF,USA,,40-44,,,,,,Western States
32444,23444,41.42,Nice Cote d Azur,eleanor davis,F,1,1,13:49:20,13.822222222222200,0.333708889961908,-1,17002,108752,6/29/2024,2024,,DNF,GBR,,35-39,,,,,,Western States
25273,25373,91.8,Doi Inthanon,lin chen,F,1,1,30:05:15,30.087500000000000,0.327750544662309,-1,17002,108752,6/29/2024,2024,,DNF,CHN,,20-34,,,,,,Western States
25273,25373,91.8,Doi Inthanon,anna li,F,2,2,30:11:14,30.187222222222200,0.328836843379327,-2,17002,108752,6/29/2024,2024,,DNF,CHN,,20-34,,,,,,Western States
141,141024,67.1,CCC,martyna mlynarczyk,F,1,2,12:11:12,12.186666666666700,0.181619473422752,-2,17002,119682,6/28/2025,2025,,DNF,POL,,35-39,,,,,,Western States
141,141024,67.1,CCC,rosanna buchauer,F,2,3,12:16:55,12.281944444444400,0.183039410498427,-3,17002,119682,6/28/2025,2025,,DNF,DEU,,35-39,,,,,,Western States
12057,112165,31.63,Javelina,david roche,M,1,1,12:45:04,12.751111111111100,0.403133452769874,-1,17002,119682,6/28/2025,2025,,DNF,USA,,35-39,,,,,,Western States
12057,112165,31.63,Javelina,riley brady,F,1,1,14:19:01,14.316944444444400,0.452638142410510,-1,17002,119682,6/28/2025,2025,,DNF,USA,,20-34,,,,,,Western States
10254,115592,5,Black Canyon,tara dower,F,1,2,8:25:08,8.418888888888890,1.683777777777780,-2,17002,119682,6/28/2025,2025,,DNF,USA,,20-34,,,,,,Western States
29669,126002,41.02,Chianti (UTCC),vincent bouillard,M,2,3,10:27:57,10.465833333333300,0.255139769218267,-3,17002,119682,6/28/2025,2025,,DNF,FRA,,20-34,,,,,,Western States
623,62321,52.89,Festival Des Templiers,aurelien collet,M,2,2,,,,,17002,87878,6/25/2022,2022,,DNS,,,,,,,,,
10254,84317,5,Black Canyon,trueheart brown,M,1,1,,,,,17002,87878,6/25/2022,2022,,DNS,,,,,,,,,
12057,81876,31.63,Javelina,ryan montgomery,M,2,2,,,,,17002,87878,6/25/2022,2022,,DNS,,,,,,,,,
3753,37542,50.6,The Canyons,jazmine lowther,F,1,1,,,,,17002,87878,6/25/2022,2022,,DNS,,,,,,,,,
12057,90708,31.63,Javelina,devon yanko,F,1,1,,,,,17002,97204,6/24/2023,2023,,DNS,,,,,,,,,
37038,37338,70.9,Grindstone,devon yanko,F,2,2,,,,,17002,108752,6/29/2024,2024,,DNS,,,,,,,,,
10254,115592,5,Black Canyon,will murray,M,2,2,,,,,17002,119682,6/28/2025,2025,,DNS,,,,,,,,,
10254,115592,5,Black Canyon,lin chen,F,2,4,,,,,17002,119682,6/28/2025,2025,,DNS,,,,,,,,,
