gt_race_id,gt_race_name,gt_normalized_name,gt_gender,ticket_position,gt_time,ws_series_id,ws_race_id,ws_date,ws_year,ws_rank,ws_status,nationality,ws_gender_rank,age_category,ws_time,ws_race
62321,Festival Des Templiers,anne-lise le quere,F,2,0.53739583333333300,17002,87878,2022-06-25,2022,173,Finisher,FRA,37,20-34,1.1466898148148100,Western States
62321,Festival Des Templiers,vincent viet,M,1,0.45306712962963000,17002,87878,2022-06-25,2022,7,Finisher,FRA,7,35-39,0.6863657407407410,Western States
37542,The Canyons,leah yingling,F,2,0.43391203703703700,17002,87878,2022-06-25,2022,21,Finisher,USA,6,20-34,0.7725810185185190,Western States
37542,The Canyons,aroa sio seijo,F,3,0.43589120370370400,17002,87878,2022-06-25,2022,32,Finisher,ESP,12,40-44,0.8461458333333330,Western States
37542,The Canyons,adam peterman,M,1,0.35552083333333300,17002,87878,2022-06-25,2022,1,Finisher,USA,1,20-34,0.6345833333333330,Western States
37542,The Canyons,jared hazen,M,2,0.36635416666666700,17002,87878,2022-06-25,2022,,DNF,USA,,20-34,,Western States
37542,The Canyons,rod farvard,M,3,0.38635416666666700,17002,87878,2022-06-25,2022,58,Finisher,USA,41,20-34,0.9505902777777780,Western States
81876,Javelina,brittany peterson,F,2,0.65790509259259300,17002,87878,2022-06-25,2022,47,Finisher,USA,16,35-39,0.9278587962962960,Western States
14221,UTMB,ludovic pommeret,M,1,0.90189814814814800,17002,87878,2022-06-25,2022,6,Finisher,FRA,6,45-49,0.6805787037037040,Western States
22,Bandera,jonathan rea,M,1,0.34027777777777800,17002,87878,2022-06-25,2022,24,Finisher,USA,16,20-34,0.7863425925925930,Western States
22,Bandera,tyler fox,M,2,0.34366898148148200,17002,87878,2022-06-25,2022,30,Finisher,USA,19,20-34,0.8257754629629630,Western States
22,Bandera,marianne hogan,F,1,0.38687500000000000,17002,87878,2022-06-25,2022,17,Finisher,CAN,3,20-34,0.7540277777777780,Western States
22,Bandera,ellie pell,F,2,0.40916666666666700,17002,87878,2022-06-25,2022,39,Finisher,USA,14,20-34,0.9008333333333330,Western States
