Athlete_Name,Athlete_Gender,Age,Age_Group,Nationality,Race_Name,Original_Year,Original_Gender_Rank,Original_Time,Next_Year,Next_Gender_Rank,Next_Time,Next_Status,Num_WS_Finishes
paul giblin,M,41,40-44,GBR,Western States,2018,9,0.715034722,2019,16,0.715023148,Finisher,3
kris brown,M,30,20-34,USA,Western States,2018,10,0.722326389,2019,13,0.691226852,Finisher,1
courtney dauwalter,F,34,20-34,USA,Western States,2018,1,0.727083333,2019,,,DNF,1
kaytlyn gerbin,F,30,20-34,USA,Western States,2018,2,0.777997685,2019,6,0.759409722,Finisher,2
lucy bartholomew,F,23,20-34,AUS,Western States,2018,3,0.791493056,2019,15,0.88869213,Finisher,1
amanda basham,F,29,20-34,USA,Western States,2018,4,0.804155093,2019,,,DNF,2
cecilia flori,F,38,35-39,NZL,Western States,2018,5,0.821469907,2019,12,0.850289352,Finisher,1
stephanie howe,F,,,,Western States,2018,6,0.823657407,2019,,,DNS,
camelia mayfield,F,27,20-34,USA,Western States,2018,7,0.824270833,2019,5,0.759386574,Finisher,1
aliza lapierre,F,39,35-39,USA,Western States,2018,8,0.832141204,2019,21,0.958530093,Finisher,5
corrine malcolm,F,29,20-34,USA,Western States,2018,9,0.834097222,2019,10,0.83505787,Finisher,1
kate elliott,F,,,,Western States,2018,10,0.836550926,2019,,,DNS,
jim walmsley,M,29,20-34,USA,Western States,2019,1,0.589907407,2021,1,0.615289352,Finisher,3
jared hazen,M,26,20-34,USA,Western States,2019,2,0.601921296,2021,,,DNF,3
tom evans,M,,,,Western States,2019,3,0.624814815,2021,,,DNS,
matt daniels,M,33,20-34,USA,Western States,2019,4,0.64,2021,,,DNF,1
mark hammond,M,36,35-39,USA,Western States,2019,5,0.650138889,2021,,,DNF,3
gediminas grinius,M,,,,Western States,2019,6,0.655439815,2021,,,DNS,
stephen kersh,M,29,20-34,USA,Western States,2019,7,0.662673611,2021,7,0.72875,Finisher,1
patrick reagan,M,34,,USA,Western States,2019,8,0.662858796,2021,11,0.812766204,Finisher,1
jeff browning,M,49,45-49,USA,Western States,2019,9,0.663263889,2021,,,DNF,5
kyle pietari,M,34,20-34,USA,Western States,2019,10,0.664039352,2021,6,0.708726852,Finisher,4
clare gallagher,F,29,20-34,USA,Western States,2019,1,0.724594907,2021,17,0.949722222,Finisher,1
brittany peterson,F,35,35-39,USA,Western States,2019,2,0.732280093,2021,4,0.755347222,Finisher,1
kaci lickteig,F,34,20-34,USA,Western States,2019,3,0.747164352,2021,10,0.824953704,Finisher,6
beth pascall,F,33,20-34,GBR,Western States,2019,4,0.754756944,2021,1,0.715763889,Finisher,0
camelia mayfield,F,28,20-34,USA,Western States,2019,5,0.759386574,2021,8,0.803703704,Finisher,2
kaytlyn gerbin,F,,,,Western States,2019,6,0.759409722,2021,,,DNS,
nicole bitter,F,39,35-39,USA,Western States,2019,7,0.788356481,2021,,,DNF,4
kathryn drew,F,34,20-34,CAN,Western States,2019,8,0.791064815,2021,19,0.989930556,Finisher,1
addie bracy,F,34,20-34,USA,Western States,2019,9,0.828912037,2021,,,DNF,1
corrine malcolm,F,,,,Western States,2019,10,0.83505787,2021,,,DNS,
jim walmsley,M,,,,Western States,2021,1,0.615289352,2022,,,DNS,
tyler green,M,38,35-39,USA,Western States,2021,2,0.674328704,2022,4,0.664699074,Finisher,2
drew holmen,M,30,20-34,USA,Western States,2021,3,0.682743056,2022,5,0.672916667,Finisher,1
cody lind,M,27,20-34,USA,Western States,2021,4,0.701157407,2022,9,0.68724537,Finisher,1
tim tollefson,M,37,35-39,USA,Western States,2021,5,0.705428241,2022,21,0.86212963,Finisher,1
kyle pietari,M,,,,Western States,2021,6,0.708726852,2022,,,DNS,
stephen kersh,M,,,,Western States,2021,7,0.72875,2022,,,DNS,
hayden hawks,M,31,20-34,USA,Western States,2021,8,0.742210648,2022,2,0.657951389,Finisher,1
