Series_ID,Race Name,Difficulty_Index,Race_Class
623,Festival Des Templiers,100,100K
25273,Doi Inthanon,94,100M
142,UTMB,87,100M
141,CCC,86,100K
29669,Chianti,67,100K
32444,Nice Cote D Azur,57,100K
3753,The Canyons,52,100K
17002,Western States,49,100M
895,Tarawera,37,100K
37038,Grindstone,35,100K
50001,Bandera,16,100K
10254,Black Canyon,10,100K
12057,Javelina Jundred,5,100M
